triad,cue_M,cue_basefreq_M,tax_M,tax_basefreq_M,theme_M,theme_basefreq_M,cue_tax_M,cue_tax_freq_M,cue_theme_M,cue_theme_freq_M,cue_E,cue_basefreq_E,tax_E,tax_basefreq_E,theme_E,theme_basefreq_E,cue_tax_E,cue_tax_freq_E,cue_theme_E,cue_theme_freq_E,cue_V,cue_basefreq_V,tax_V,tax_basefreq_V,theme_V,theme_basefreq_V,cue_tax_V,cue_tax_freq_V,cue_theme_V,cue_theme_freq_V
knight,騎士,15621,士兵,11473,盔甲,1534,騎士 - 士兵,67,騎士 - 盔甲,94,knight,7266,soldier,78276,armor,8514,knight - soldier,16,knight - armor,381,hiệp sĩ,,người lính,,áo giáp,,hiệp sĩ - người lính,0,hiệp sĩ - áo giáp,0
lamp,燈,15421,手電筒,3684,桌子,14994,燈 - 手電筒,175,燈 - 桌子,211,lamp,14028,flashlight,6885,desk,46133,lamp - flashlight,16,lamp - desk,385,đèn,,đèn pin,,bàn,,đèn - đèn pin,5,đèn - bàn,26
gloves,手套,7333,短褲,3130,滑雪,1956,手套 - 短褲,15,手套 - 滑雪,12,gloves,20469,shorts,10839,ski,17185,gloves - shorts,29,gloves - ski,79,găng tay,,quần đùi,,ván trượt tuyết,,găng tay - quần đùi,0,găng tay - ván trượt tuyết,0
mountain,山峰,2535,懸崖,3527,雪,17517,山峰 - 懸崖,25,山峰 - 雪,179,mountain,88984,cliff,17891,snow,42027,mountain - cliff,94,mountain - snow,661,núi,,vách đá,,băng,,núi - vách đá,9,núi - băng,7
mouth,嘴,63603,鼻,24909,牙刷,1613,嘴 - 鼻,1648,嘴 - 牙刷,33,mouth,86406,nose,45433,toothbrush,2635,mouth - nose,1937,mouth - toothbrush,55,miệng,,mũi,,bàn chải đánh răng,,miệng - mũi,55,miệng - bàn chải đánh răng,0
movie,電影,86154,卡通片,321,導演,39122,電影 - 卡通片,64,電影 - 導演,8603,movie,190773,cartoon,13928,director,158028,movie - cartoon,126,movie - director,1308,phim,,hoạt hình,,đạo diễn,,phim - hoạt hình,50,phim - đạo diễn,423
notepad,筆記本,3350,書本,4802,雙肩包,0,筆記本 - 書本,16,筆記本 - 雙肩包,0,notepad,1142,book,435387,backpack,7908,notepad - book,13,notepad - backpack,3,tập,,sách,,cặp,,tập - sách,140,tập - cặp,0
ocean1,海洋,28921,河流,5511,鯨,5431,海洋 - 河流,177,海洋 - 鯨,846,ocean,47773,river,100270,whale,14947,ocean - river,387,ocean - whale,115,biển,,sông,,cá voi,,biển - sông,250,biển - cá voi,12
onion2,洋蔥,4345,胡椒,2375,炒鍋,233,洋蔥 - 胡椒,166,洋蔥 - 炒鍋,5,onion,24049,peppers,34195,frying pan,1551,onion - peppers,306,onion - frying pan,42,hành,,ớt,,chảo,,hành - ớt,60,hành - chảo,20
oyster,蚌,356,蛤蜊,764,珍珠,9618,蚌 - 蛤蜊,0,蚌 - 珍珠,35,oyster,7923,clam,3025,pearl,7742,oyster - clam,38,oyster - pearl,79,con trai,,con sò,,ngọc trai,,con trai - con sò,0,con trai - ngọc trai,0
watering can,灑水壺,0,桶,8263,花朵,10011,灑水壺 - 桶,0,灑水壺 - 花朵,0,watering can,167,bucket,12920,flowers,48912,watering can - bucket,0,watering can - flowers,5,bình tưới,,xô,,hoa,,bình tưới - xô,0,bình tưới - hoa,0
pastry,蝴蝶酥,0,蛋糕,15941,烘焙師,0,蝴蝶酥 - 蛋糕,0,蝴蝶酥 - 烘焙師,0,pastry,6059,cake,33519,baker,3579,pastry - cake,92,pastry - baker,19,bánh ngọt,,bánh kem,,thợ làm bánh,,bánh ngọt - bánh kem,0,bánh ngọt - thợ làm bánh,0
penguin,企鵝,2794,鵝,3090,雪,17517,企鵝 - 鵝,7,企鵝 - 雪,17,penguin,3024,goose,8296,snow,42027,penguin - goose,0,penguin - snow,11,chim cánh cụt,,ngỗng,,tuyết,,chim cánh cụt - ngỗng,0,chim cánh cụt - tuyết,0
policeman,警察,41861,老師,149505,監獄,10709,警察 - 老師,398,警察 - 監獄,88,policeman,9407,teacher,234642,jail,33453,policeman - teacher,22,policeman - jail,17,cảnh sát,,giáo viên,,nhà tù,,cảnh sát - giáo viên,0,cảnh sát - nhà tù,5
mailman,快遞員,0,消防員,1500,包裹,6463,快遞員 - 消防員,0,快遞員 - 包裹,0,mailman,1198,firefighter,9843,package,43448,mailman - firefighter,0,mailman - package,13,người đưa thư,,lính cứu hoả,,bưu kiện,,người đưa thư - lính cứu hoả,0,người đưa thư - bưu kiện,0
pot1,湯鍋,327,平底鍋,593,長柄勺,0,湯鍋 - 平底鍋,22,湯鍋 - 長柄勺,0,pot,31864,pan,24011,ladle,506,pot - pan,167,pot - ladle,37,nồi,,chảo,,muôi,,nồi - chảo,27,nồi - muôi,0
pot2,湯鍋,327,平底鍋,593,爐灶,1190,湯鍋 - 平底鍋,22,湯鍋 - 爐灶,0,pot,31864,pan,24011,stove,10567,pot - pan,167,pot - stove,438,nồi ,,chảo,,bếp,,nồi  - chảo,27,nồi  - bếp,77
saw,鋸子,633,錘子,566,木板,5347,鋸子 - 錘子,13,鋸子 - 木板,13,saw,5722,hammer,11886,plank,4390,saw - hammer,147,saw - plank,15,cưa,,búa,,tấm ván,,cưa - búa,3,cưa - tấm ván,0
